Postcode,e-PIMS ID,Legislative Country,Effective From,Effective To
LS296AE,88516,England,01/01/2023,
LS296HB,88516,England,01/01/2023,
LS297,88516,England,01/01/2023,
OL145,88516,England,01/01/2023,
OL146,88516,England,01/01/2023,
OL147,88516,England,01/01/2023,
OL148,88516,England,01/01/2023,
LL237,366572,Wales,01/01/2024,
LL240BE,366572,Wales,01/01/2024,
LL270,366572,Wales,01/01/2024,
LL328,366572,Wales,01/01/2024,
LL330,366572,Wales,01/01/2024,
LL330,366572,Wales,01/01/2024,
LL330HA,366572,Wales,01/01/2024,
LL330UP,366572,Wales,01/01/2024,
LL346,366572,Wales,01/01/2024,
LL350,366572,Wales,01/01/2024,
LL350LS,366572,Wales,01/01/2024,
LL360,366572,Wales,01/01/2024,
LL369,366572,Wales,01/01/2024,
LL372,366572,Wales,01/01/2024,
LL382,366572,Wales,01/01/2024,
LL391,366572,Wales,01/01/2024,
LL40,366572,Wales,01/01/2024,
LL401,366572,Wales,01/01/2024,
LL402,366572,Wales,01/01/2024,
LL413,366572,Wales,01/01/2024,
LL414,366572,Wales,01/01/2024,
LL421,366572,Wales,01/01/2024,
LL432,366572,Wales,01/01/2024,
LL442,366572,Wales,01/01/2024,
LL452,366572,Wales,01/01/2024,
LL462,366572,Wales,01/01/2024,
LL476,366572,Wales,01/01/2024,
LL486,366572,Wales,01/01/2024,
LL499,366572,Wales,01/01/2024,
LL519,366572,Wales,01/01/2024,
LL520,366572,Wales,01/01/2024,
LL535,366572,Wales,01/01/2024,
LL536,366572,Wales,01/01/2024,
LL537,366572,Wales,01/01/2024,
LL538,366572,Wales,01/01/2024,
LL538HN,366572,Wales,01/01/2024,
LL545,366572,Wales,01/01/2024,
LL546,366572,Wales,01/01/2024,
LL547,366572,Wales,01/01/2024,
LL551,366572,Wales,01/01/2024,
LL552,366572,Wales,01/01/2024,
LL552DF,366572,Wales,01/01/2024,
LL553,366572,Wales,01/01/2024,
LL554,366572,Wales,01/01/2024,
LL56,366572,Wales,01/01/2024,
LL564JY,366572,Wales,01/01/2024,
LL564TZ,366572,Wales,01/01/2024,
LL57,366572,Wales,01/01/2024,
LL571,366572,Wales,01/01/2024,
LL573,366572,Wales,01/01/2024,
LL574,366572,Wales,01/01/2024,
LL577TF,366572,Wales,01/01/2024,
LL588,366572,Wales,01/01/2024,
LL595,366572,Wales,01/01/2024,
LL606,366572,Wales,01/01/2024,
LL615,366572,Wales,01/01/2024,
LL616,366572,Wales,01/01/2024,
LL625,366572,Wales,01/01/2024,
LL635,366572,Wales,01/01/2024,
LL645,366572,Wales,01/01/2024,
LL651,366572,Wales,01/01/2024,
LL652,366572,Wales,01/01/2024,
LL653,366572,Wales,01/01/2024,
LL654,366572,Wales,01/01/2024,
LL660,366572,Wales,01/01/2024,
LL669,366572,Wales,01/01/2024,
LL670,366572,Wales,01/01/2024,
LL680,366572,Wales,01/01/2024,
LL689,366572,Wales,01/01/2024,
LL699,366572,Wales,01/01/2024,
LL709,366572,Wales,01/01/2024,
LL717,366572,Wales,01/01/2024,
LL718,366572,Wales,01/01/2024,
LL719,366572,Wales,01/01/2024,
LL728,366572,Wales,01/01/2024,
LL738,366572,Wales,01/01/2024,
LL748,366572,Wales,01/01/2024,
LL757,366572,Wales,01/01/2024,
LL758,366572,Wales,01/01/2024,
LL768,366572,Wales,01/01/2024,
LL777,366572,Wales,01/01/2024,
LL778,366572,Wales,01/01/2024,
LL787,366572,Wales,01/01/2024,
LL788,366572,Wales,01/01/2024,
SY209,366572,Wales,01/01/2024,
BD112BQ,197852,England,01/01/2022,
BD193,197852,England,01/01/2022,
BD194,197852,England,01/01/2022,
BD195,197852,England,01/01/2022,
HD11,197852,England,01/01/2022,
HD12,197852,England,01/01/2022,
HD13,197852,England,01/01/2022,
HD14,197852,England,01/01/2022,
HD15,197852,England,01/01/2022,
HD16,197852,England,01/01/2022,
HD21,197852,England,01/01/2022,
HD22,197852,England,01/01/2022,
HD33,197852,England,01/01/2022,
HD34,197852,England,01/01/2022,
HD34UB,197852,England,01/01/2022,
HD45,197852,England,01/01/2022,
HD46,197852,England,01/01/2022,
HD47,197852,England,01/01/2022,
HD50,197852,England,01/01/2022,
HD58,197852,England,01/01/2022,
HD59,197852,England,01/01/2022,
HD61,197852,England,01/01/2022,
HD62,197852,England,01/01/2022,
HD63,197852,England,01/01/2022,
HD64,197852,England,01/01/2022,
HD71,197852,England,01/01/2022,
HD72,197852,England,01/01/2022,
HD73,197852,England,01/01/2022,
HD74,197852,England,01/01/2022,
HD75,197852,England,01/01/2022,
HD76,197852,England,01/01/2022,
HD77,197852,England,01/01/2022,
HD80,197852,England,01/01/2022,
HD88,197852,England,01/01/2022,
HD89,197852,England,01/01/2022,
HD9,197852,England,01/01/2022,
HD91EJ,197852,England,01/01/2022,
HD91LP,197852,England,01/01/2022,
HD91SH,197852,England,01/01/2022,
HD91UD,197852,England,01/01/2022,
HD91US,197852,England,01/01/2022,
HD92,197852,England,01/01/2022,
HD92JX,197852,England,01/01/2022,
HD92QN,197852,England,01/01/2022,
HD93EW,197852,England,01/01/2022,
HD93TP,197852,England,01/01/2022,
HD93UZ,197852,England,01/01/2022,
HD94AS,197852,England,01/01/2022,
HD95,197852,England,01/01/2022,
HD95AA,197852,England,01/01/2022,
HD95FR,197852,England,01/01/2022,
HD95PB,197852,England,01/01/2022,
HD95RF,197852,England,01/01/2022,
HD95RG,197852,England,01/01/2022,
HD96,197852,England,01/01/2022,
HD96EU,197852,England,01/01/2022,
HD96EW,197852,England,01/01/2022,
HD96PU,197852,England,01/01/2022,
HD97AR,197852,England,01/01/2022,
HD97HR,197852,England,01/01/2022,
HD97LT,197852,England,01/01/2022,
HD97RY,197852,England,01/01/2022,
HD97SR,197852,England,01/01/2022,
HD97SU,197852,England,01/01/2022,
HX30,197852,England,01/01/2022,
HX35,197852,England,01/01/2022,
HX36,197852,England,01/01/2022,
HX37,197852,England,01/01/2022,
HX38,197852,England,01/01/2022,
HX39,197852,England,01/01/2022,
HX40,197852,England,01/01/2022,
HX48,197852,England,01/01/2022,
HX49,197852,England,01/01/2022,
HX50,197852,England,01/01/2022,
HX59,197852,England,01/01/2022,
WF12,197852,England,01/01/2022,
WF120,197852,England,01/01/2022,
WF127,197852,England,01/01/2022,
WF128,197852,England,01/01/2022,
WF129,197852,England,01/01/2022,
WF131,197852,England,01/01/2022,
WF132,197852,England,01/01/2022,
WF133,197852,England,01/01/2022,
WF134,197852,England,01/01/2022,
WF140,197852,England,01/01/2022,
WF148,197852,England,01/01/2022,
WF148AR,197852,England,01/01/2022,
WF148XQ,197852,England,01/01/2022,
WF149,197852,England,01/01/2022,
WF149WZ,197852,England,01/01/2022,
WF156,197852,England,01/01/2022,
WF157,197852,England,01/01/2022,
WF158,197852,England,01/01/2022,
WF160,197852,England,01/01/2022,
WF169,197852,England,01/01/2022,
WF170,197852,England,01/01/2022,
WF175,197852,England,01/01/2022,
WF176,197852,England,01/01/2022,
WF177,197852,England,01/01/2022,
WF178,197852,England,01/01/2022,
WF179,197852,England,01/01/2022,
WF32BB,197852,England,01/01/2022,
WF44AA,197852,England,01/01/2022,
WF44AB,197852,England,01/01/2022,
WF44AD,197852,England,01/01/2022,
WF44AE,197852,England,01/01/2022,
WF44AH,197852,England,01/01/2022,
WF44BS,197852,England,01/01/2022,
WF44DH,197852,England,01/01/2022,
WF44DJ,197852,England,01/01/2022,
WF44DS,197852,England,01/01/2022,
WF44DW,197852,England,01/01/2022,
WF44DZ,197852,England,01/01/2022,
WF44EE,197852,England,01/01/2022,
WF44EJ,197852,England,01/01/2022,
WF44EQ,197852,England,01/01/2022,
WF44ET,197852,England,01/01/2022,
WF44SU,197852,England,01/01/2022,
WF44SX,197852,England,01/01/2022,
SW100,268374,England,01/01/2022,
SW109,268374,England,01/01/2022,
SW111,268374,England,01/01/2022,
SW112,268374,England,01/01/2022,
SW112LY,268374,England,01/01/2022,
SW113,268374,England,01/01/2022,
SW114,268374,England,01/01/2022,
SW115,268374,England,01/01/2022,
SW116,268374,England,01/01/2022,
SW120,268374,England,01/01/2022,
SW128,268374,England,01/01/2022,
SW129,268374,England,01/01/2022,
SW130,268374,England,01/01/2022,
SW130LD,268374,England,01/01/2022,
SW138AJ,268374,England,01/01/2022,
SW138EG,268374,England,01/01/2022,
SW138HH,268374,England,01/01/2022,
SW138HS,268374,England,01/01/2022,
SW138RB,268374,England,01/01/2022,
SW139,268374,England,01/01/2022,
SW147,268374,England,01/01/2022,
SW148,268374,England,01/01/2022,
SW151,268374,England,01/01/2022,
SW152,268374,England,01/01/2022,
SW153,268374,England,01/01/2022,
SW153,268374,England,01/01/2022,
SW153NS,268374,England,01/01/2022,
SW153PL,268374,England,01/01/2022,
SW153PU,268374,England,01/01/2022,
SW153PW,268374,England,01/01/2022,
SW153QH,268374,England,01/01/2022,
SW153QP,268374,England,01/01/2022,
SW153QR,268374,England,01/01/2022,
SW153RG,268374,England,01/01/2022,
SW153RN,268374,England,01/01/2022,
SW153RR,268374,England,01/01/2022,
SW153RW,268374,England,01/01/2022,
SW153UP,268374,England,01/01/2022,
SW154,268374,England,01/01/2022,
SW154PA,268374,England,01/01/2022,
SW155,268374,England,01/01/2022,
SW155DU,268374,England,01/01/2022,
SW155JZ,268374,England,01/01/2022,
SW156,268374,England,01/01/2022,
SW156PT,268374,England,01/01/2022,
SW156TW,268374,England,01/01/2022,
SW161,268374,England,01/01/2022,
SW161RF,268374,England,01/01/2022,
SW161RT,268374,England,01/01/2022,
SW161TZ,268374,England,01/01/2022,
SW162,268374,England,01/01/2022,
SW162BE,268374,England,01/01/2022,
SW162QG,268374,England,01/01/2022,
SW162TU,268374,England,01/01/2022,
SW163AL,268374,England,01/01/2022,
SW163QH,268374,England,01/01/2022,
SW163RZ,268374,England,01/01/2022,
SW164JG,268374,England,01/01/2022,
SW164NB,268374,England,01/01/2022,
SW164QB,268374,England,01/01/2022,
SW164QE,268374,England,01/01/2022,
SW164RH,268374,England,01/01/2022,
SW164UF,268374,England,01/01/2022,
SW164UZ,268374,England,01/01/2022,
SW165AA,268374,England,01/01/2022,
SW165AD,268374,England,01/01/2022,
SW165AH,268374,England,01/01/2022,
SW165AW,268374,England,01/01/2022,
SW165BJ,268374,England,01/01/2022,
SW165BL,268374,England,01/01/2022,
SW165BQ,268374,England,01/01/2022,
SW165BS,268374,England,01/01/2022,
SW165BX,268374,England,01/01/2022,
SW165BY,268374,England,01/01/2022,
SW165DB,268374,England,01/01/2022,
SW165DE,268374,England,01/01/2022,
SW165DN,268374,England,01/01/2022,
SW165DS,268374,England,01/01/2022,
SW165DT,268374,England,01/01/2022,
SW165JA,268374,England,01/01/2022,
SW165JU,268374,England,01/01/2022,
SW165JX,268374,England,01/01/2022,
SW165JY,268374,England,01/01/2022,
SW165JZ,268374,England,01/01/2022,
SW165LL,268374,England,01/01/2022,
SW165LQ,268374,England,01/01/2022,
SW165LS,268374,England,01/01/2022,
SW165LU,268374,England,01/01/2022,
SW165LW,268374,England,01/01/2022,
SW165LX,268374,England,01/01/2022,
SW165LY,268374,England,01/01/2022,
SW165NG,268374,England,01/01/2022,
SW165NN,268374,England,01/01/2022,
SW165NU,268374,England,01/01/2022,
SW165NW,268374,England,01/01/2022,
SW165NY,268374,England,01/01/2022,
SW165PD,268374,England,01/01/2022,
SW165PF,268374,England,01/01/2022,
SW165PG,268374,England,01/01/2022,
SW165PQ,268374,England,01/01/2022,
SW165QE,268374,England,01/01/2022,
SW165RG,268374,England,01/01/2022,
SW165RN,268374,England,01/01/2022,
SW165RT,268374,England,01/01/2022,
SW165RU,268374,England,01/01/2022,
SW165RW,268374,England,01/01/2022,
SW165RY,268374,England,01/01/2022,
SW165RZ,268374,England,01/01/2022,
SW165SB,268374,England,01/01/2022,
SW165SG,268374,England,01/01/2022,
SW165ST,268374,England,01/01/2022,
SW165SU,268374,England,01/01/2022,
SW165TB,268374,England,01/01/2022,
SW165TF,268374,England,01/01/2022,
SW165TG,268374,England,01/01/2022,
SW165UA,268374,England,01/01/2022,
SW165UP,268374,England,01/01/2022,
SW165UQ,268374,England,01/01/2022,
SW165UX,268374,England,01/01/2022,
SW165UY,268374,England,01/01/2022,
SW165XE,268374,England,01/01/2022,
SW165XQ,268374,England,01/01/2022,
SW165YP,268374,England,01/01/2022,
SW165YQ,268374,England,01/01/2022,
SW166,268374,England,01/01/2022,
SW166AG,268374,England,01/01/2022,
SW166AP,268374,England,01/01/2022,
SW166AY,268374,England,01/01/2022,
SW166BN,268374,England,01/01/2022,
SW166BW,268374,England,01/01/2022,
SW166DS,268374,England,01/01/2022,
SW166EA,268374,England,01/01/2022,
SW166HG,268374,England,01/01/2022,
SW166HZ,268374,England,01/01/2022,
SW166JD,268374,England,01/01/2022,
SW166LD,268374,England,01/01/2022,
SW166LT,268374,England,01/01/2022,
SW166NA,268374,England,01/01/2022,
SW166QA,268374,England,01/01/2022,
SW166QE,268374,England,01/01/2022,
SW166QR,268374,England,01/01/2022,
SW166QT,268374,England,01/01/2022,
SW166SE,268374,England,01/01/2022,
SW166TA,268374,England,01/01/2022,
SW166TN,268374,England,01/01/2022,
SW166WD,268374,England,01/01/2022,
SW16RF,268374,England,01/01/2022,
SW170,268374,England,01/01/2022,
SW170SB,268374,England,01/01/2022,
SW176,268374,England,01/01/2022,
SW177,268374,England,01/01/2022,
SW178,268374,England,01/01/2022,
SW178LR,268374,England,01/01/2022,
SW179,268374,England,01/01/2022,
SW179ET,268374,England,01/01/2022,
SW179JY,268374,England,01/01/2022,
SW179RD,268374,England,01/01/2022,
SW181,268374,England,01/01/2022,
SW181PB,268374,England,01/01/2022,
SW182,268374,England,01/01/2022,
SW183,268374,England,01/01/2022,
SW184,268374,England,01/01/2022,
SW185,268374,England,01/01/2022,
SW189,268374,England,01/01/2022,
SW189HZ,268374,England,01/01/2022,
SW18QD,268374,England,01/01/2022,
SW191HL,268374,England,01/01/2022,
SW191TS,268374,England,01/01/2022,
SW191UU,268374,England,01/01/2022,
SW192AW,268374,England,01/01/2022,
SW192DB,268374,England,01/01/2022,
SW192NA,268374,England,01/01/2022,
SW192RW,268374,England,01/01/2022,
SW192TQ,268374,England,01/01/2022,
SW193NJ,268374,England,01/01/2022,
SW195EG,268374,England,01/01/2022,
SW195LJ,268374,England,01/01/2022,
SW195LN,268374,England,01/01/2022,
SW195NW,268374,England,01/01/2022,
SW195PP,268374,England,01/01/2022,
SW195QF,268374,England,01/01/2022,
SW195QU,268374,England,01/01/2022,
SW195QW,268374,England,01/01/2022,
SW196,268374,England,01/01/2022,
SW197AH,268374,England,01/01/2022,
SW197AY,268374,England,01/01/2022,
SW197BP,268374,England,01/01/2022,
SW198BE,268374,England,01/01/2022,
SW198JT,268374,England,01/01/2022,
SW198PZ,268374,England,01/01/2022,
SW1P1,268374,England,01/01/2022,
SW1P2DF,268374,England,01/01/2022,
SW1V1DU,268374,England,01/01/2022,
SW1V2AA,268374,England,01/01/2022,
SW1V2AR,268374,England,01/01/2022,
SW1V3NG,268374,England,01/01/2022,
SW1V3NZ,268374,England,01/01/2022,
SW1W0,268374,England,01/01/2022,
SW1W8,268374,England,01/01/2022,
SW1W8DE,268374,England,01/01/2022,
SW1W8DF,268374,England,01/01/2022,
SW1W8LH,268374,England,01/01/2022,
SW1W8QD,268374,England,01/01/2022,
SW1W8QQ,268374,England,01/01/2022,
SW1W8RU,268374,England,01/01/2022,
SW1W8SX,268374,England,01/01/2022,
SW1W9,268374,England,01/01/2022,
SW1X0,268374,England,01/01/2022,
SW1X7,268374,England,01/01/2022,
SW1X8,268374,England,01/01/2022,
SW1X9,268374,England,01/01/2022,
SW208,268374,England,01/01/2022,
SW208DR,268374,England,01/01/2022,
SW208SJ,268374,England,01/01/2022,
SW209NY,268374,England,01/01/2022,
SW21AH,268374,England,01/01/2022,
SW21EY,268374,England,01/01/2022,
SW21EZ,268374,England,01/01/2022,
SW21HE,268374,England,01/01/2022,
SW21RB,268374,England,01/01/2022,
SW21RE,268374,England,01/01/2022,
SW21RF,268374,England,01/01/2022,
SW22AY,268374,England,01/01/2022,
SW22JJ,268374,England,01/01/2022,
SW24,268374,England,01/01/2022,
SW24AE,268374,England,01/01/2022,
SW24BD,268374,England,01/01/2022,
SW24QB,268374,England,01/01/2022,
SW24QL,268374,England,01/01/2022,
SW24RH,268374,England,01/01/2022,
SW25,268374,England,01/01/2022,
SW25AA,268374,England,01/01/2022,
SW25AB,268374,England,01/01/2022,
SW25AS,268374,England,01/01/2022,
SW25AT,268374,England,01/01/2022,
SW25BJ,268374,England,01/01/2022,
SW25BP,268374,England,01/01/2022,
SW25DA,268374,England,01/01/2022,
SW25DD,268374,England,01/01/2022,
SW25DE,268374,England,01/01/2022,
SW25DF,268374,England,01/01/2022,
SW25DG,268374,England,01/01/2022,
SW25DQ,268374,England,01/01/2022,
SW25DU,268374,England,01/01/2022,
SW25EA,268374,England,01/01/2022,
SW25ED,268374,England,01/01/2022,
SW25HG,268374,England,01/01/2022,
SW25HH,268374,England,01/01/2022,
SW25HL,268374,England,01/01/2022,
SW25JA,268374,England,01/01/2022,
SW25JJ,268374,England,01/01/2022,
SW25JS,268374,England,01/01/2022,
SW25JU,268374,England,01/01/2022,
SW25LN,268374,England,01/01/2022,
SW25LP,268374,England,01/01/2022,
SW25LR,268374,England,01/01/2022,
SW25LS,268374,England,01/01/2022,
SW25LW,268374,England,01/01/2022,
SW25LX,268374,England,01/01/2022,
SW25NF,268374,England,01/01/2022,
SW25PP,268374,England,01/01/2022,
SW25PR,268374,England,01/01/2022,
SW25QA,268374,England,01/01/2022,
SW31,268374,England,01/01/2022,
SW32,268374,England,01/01/2022,
SW33,268374,England,01/01/2022,
SW34,268374,England,01/01/2022,
SW35,268374,England,01/01/2022,
SW35BX,268374,England,01/01/2022,
SW36,268374,England,01/01/2022,
SW40,268374,England,01/01/2022,
SW46AA,268374,England,01/01/2022,
SW46AQ,268374,England,01/01/2022,
SW46AR,268374,England,01/01/2022,
SW46AT,268374,England,01/01/2022,
SW46AU,268374,England,01/01/2022,
SW46BA,268374,England,01/01/2022,
SW46BE,268374,England,01/01/2022,
SW46BH,268374,England,01/01/2022,
SW46BP,268374,England,01/01/2022,
SW46DE,268374,England,01/01/2022,
SW46DN,268374,England,01/01/2022,
SW46DR,268374,England,01/01/2022,
SW46DW,268374,England,01/01/2022,
SW46DZ,268374,England,01/01/2022,
SW46EA,268374,England,01/01/2022,
SW46ED,268374,England,01/01/2022,
SW46EE,268374,England,01/01/2022,
SW46EF,268374,England,01/01/2022,
SW46EG,268374,England,01/01/2022,
SW46EP,268374,England,01/01/2022,
SW46EQ,268374,England,01/01/2022,
SW46ET,268374,England,01/01/2022,
SW46HL,268374,England,01/01/2022,
SW46JA,268374,England,01/01/2022,
SW46JB,268374,England,01/01/2022,
SW46JQ,268374,England,01/01/2022,
SW46JU,268374,England,01/01/2022,
SW46JW,268374,England,01/01/2022,
SW46JX,268374,England,01/01/2022,
SW46LN,268374,England,01/01/2022,
SW46LT,268374,England,01/01/2022,
SW46LW,268374,England,01/01/2022,
SW46NA,268374,England,01/01/2022,
SW46NB,268374,England,01/01/2022,
SW46NE,268374,England,01/01/2022,
SW46NF,268374,England,01/01/2022,
SW46NH,268374,England,01/01/2022,
SW46NP,268374,England,01/01/2022,
SW46NS,268374,England,01/01/2022,
SW46NW,268374,England,01/01/2022,
SW46PB,268374,England,01/01/2022,
SW46PE,268374,England,01/01/2022,
SW46PF,268374,England,01/01/2022,
SW46PU,268374,England,01/01/2022,
SW46QD,268374,England,01/01/2022,
SW47,268374,England,01/01/2022,
SW47,268374,England,01/01/2022,
SW47LG,268374,England,01/01/2022,
SW47NJ,268374,England,01/01/2022,
SW48,268374,England,01/01/2022,
SW48,268374,England,01/01/2022,
SW48BL,268374,England,01/01/2022,
SW48ED,268374,England,01/01/2022,
SW48EL,268374,England,01/01/2022,
SW48HA,268374,England,01/01/2022,
SW48HY,268374,England,01/01/2022,
SW48QE,268374,England,01/01/2022,
SW49,268374,England,01/01/2022,
SW49HD,268374,England,01/01/2022,
SW49QR,268374,England,01/01/2022,
SW49QZ,268374,England,01/01/2022,
SW50,268374,England,01/01/2022,
SW59,268374,England,01/01/2022,
SW61,268374,England,01/01/2022,
SW62,268374,England,01/01/2022,
SW62HN,268374,England,01/01/2022,
SW62UU,268374,England,01/01/2022,
SW63,268374,England,01/01/2022,
SW63HF,268374,England,01/01/2022,
SW64,268374,England,01/01/2022,
SW65,268374,England,01/01/2022,
SW66,268374,England,01/01/2022,
SW66AD,268374,England,01/01/2022,
SW67,268374,England,01/01/2022,
SW67EQ,268374,England,01/01/2022,
SW67EX,268374,England,01/01/2022,
SW71,268374,England,01/01/2022,
SW72,268374,England,01/01/2022,
SW73,268374,England,01/01/2022,
SW74,268374,England,01/01/2022,
SW75,268374,England,01/01/2022,
SW75NU,268374,England,01/01/2022,
SW81JE,268374,England,01/01/2022,
SW81ND,268374,England,01/01/2022,
SW82,268374,England,01/01/2022,
SW821Z,268374,England,01/01/2022,
SW82AA,268374,England,01/01/2022,
SW82AB,268374,England,01/01/2022,
SW82AD,268374,England,01/01/2022,
SW82AE,268374,England,01/01/2022,
SW82AF,268374,England,01/01/2022,
SW82AG,268374,England,01/01/2022,
SW82AH,268374,England,01/01/2022,
SW82AJ,268374,England,01/01/2022,
SW82AL,268374,England,01/01/2022,
SW82AQ,268374,England,01/01/2022,
SW82AR,268374,England,01/01/2022,
SW82AS,268374,England,01/01/2022,
SW82AT,268374,England,01/01/2022,
SW82AW,268374,England,01/01/2022,
SW82JH,268374,England,01/01/2022,
SW82LB,268374,England,01/01/2022,
SW82LQ,268374,England,01/01/2022,
SW82LZ,268374,England,01/01/2022,
SW82NJ,268374,England,01/01/2022,
SW82QP,268374,England,01/01/2022,
SW82QR,268374,England,01/01/2022,
SW82QS,268374,England,01/01/2022,
SW82QT,268374,England,01/01/2022,
SW82QW,268374,England,01/01/2022,
SW82QY,268374,England,01/01/2022,
SW82RA,268374,England,01/01/2022,
SW82RB,268374,England,01/01/2022,
SW82RD,268374,England,01/01/2022,
SW82RE,268374,England,01/01/2022,
SW82RP,268374,England,01/01/2022,
SW82RR,268374,England,01/01/2022,
SW82RS,268374,England,01/01/2022,
SW82RT,268374,England,01/01/2022,
SW82RU,268374,England,01/01/2022,
SW82RW,268374,England,01/01/2022,
SW82RX,268374,England,01/01/2022,
SW82RY,268374,England,01/01/2022,
SW82RZ,268374,England,01/01/2022,
SW82SA,268374,England,01/01/2022,
SW82SE,268374,England,01/01/2022,
SW82SF,268374,England,01/01/2022,
SW83,268374,England,01/01/2022,
SW84,268374,England,01/01/2022,
SW84,268374,England,01/01/2022,
SW84JL,268374,England,01/01/2022,
SW84NZ,268374,England,01/01/2022,
SW84UA,268374,England,01/01/2022,
SW85,268374,England,01/01/2022,
SW85EF,268374,England,01/01/2022,
SW85WX,268374,England,01/01/2022,
SW96AH,268374,England,01/01/2022,
SW97HJ,268374,England,01/01/2022,
SW98AY,268374,England,01/01/2022,
TW105,268374,England,01/01/2022,
TW106,268374,England,01/01/2022,
TW107,268374,England,01/01/2022,
TW107PA,268374,England,01/01/2022,
TW32RF,268374,England,01/01/2022,
TW91,268374,England,01/01/2022,
TW92,268374,England,01/01/2022,
TW92AU,268374,England,01/01/2022,
TW93,268374,England,01/01/2022,
TW94,268374,England,01/01/2022,
TW94EG,268374,England,01/01/2022,
W104RG,268374,England,01/01/2022,
W105DQ,268374,England,01/01/2022,
W105UA,268374,England,01/01/2022,
W106AQ,268374,England,01/01/2022,
W106HJ,268374,England,01/01/2022,
W111AW,268374,England,01/01/2022,
